2026-05-05 00:00:14 [LV1] LV1 [조건A-4] SPX ▼15.2pt (10분 전 대비) | 기준 15.0pt/양방향
2026-05-05 22:00:20 [LV1] LV1 [조건A-1] SPX ▼35.5pt (20분 전 대비) | 기준 10.0pt/양방향
2026-05-05 22:00:21 [LV1] LV1 [조건A-2] SPX ▼35.5pt (30분 전 대비) | 기준 10.0pt/양방향
2026-05-05 22:00:22 [LV1] LV1 [조건A-3] SPX ▼35.5pt (40분 전 대비) | 기준 10.0pt/양방향
2026-05-05 22:00:23 [LV1] LV1 [조건A-4] SPX ▼35.5pt (10분 전 대비) | 기준 15.0pt/양방향
2026-05-05 22:26:32 [LV1] LV1 [조건A-1] SPX ▲37.2pt (20분 전 대비) | 기준 10.0pt/양방향
2026-05-05 22:26:33 [LV1] LV1 [조건A-4] SPX ▲37.2pt (10분 전 대비) | 기준 15.0pt/양방향
2026-05-05 22:29:30 [LV1] LV1 [조건A-1] SPX ▼36.2pt (20분 전 대비) | 기준 10.0pt/양방향
2026-05-05 22:29:32 [LV1] LV1 [조건A-4] SPX ▼36.2pt (10분 전 대비) | 기준 15.0pt/양방향
2026-05-05 22:30:27 [LV1] LV1 [조건A-1] SPX ▼20.9pt (20분 전 대비) | 기준 10.0pt/양방향
2026-05-05 22:30:28 [LV1] LV1 [조건A-4] SPX ▼20.9pt (10분 전 대비) | 기준 15.0pt/양방향
